periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,kritis,kategori
201701,2017-01-27,DKI5,5.0,,11.0,29.0,37.0,14.0,37.0,O3,BAIK
201701,2017-01-28,DKI5,5.0,,11.0,28.0,42.0,6.0,42.0,O3,BAIK
201701,2017-01-29,DKI5,6.0,,11.0,29.0,26.0,13.0,29.0,CO,BAIK
201701,2017-01-30,DKI5,7.0,,11.0,28.0,41.0,5.0,41.0,O3,BAIK
201701,2017-01-31,DKI5,6.0,,11.0,26.0,42.0,7.0,42.0,O3,BAIK
201702,2017-02-01,DKI1,41.0,,16.0,22.0,27.0,3.0,41.0,PM10,BAIK
201702,2017-02-02,DKI1,49.0,,,23.0,41.0,3.0,49.0,PM10,BAIK
201702,2017-02-03,DKI1,53.0,,,28.0,34.0,3.0,53.0,PM10,SEDANG
201702,2017-02-04,DKI1,30.0,,,17.0,35.0,2.0,35.0,O3,BAIK
201702,2017-02-05,DKI1,22.0,,,15.0,37.0,2.0,37.0,O3,BAIK
201702,2017-02-06,DKI1,25.0,,,16.0,26.0,1.0,26.0,O3,BAIK
201702,2017-02-07,DKI1,39.0,,6.0,20.0,22.0,2.0,39.0,PM10,BAIK
201702,2017-02-08,DKI1,28.0,,6.0,19.0,23.0,3.0,28.0,PM10,BAIK
201702,2017-02-09,DKI1,41.0,,6.0,20.0,22.0,2.0,41.0,PM10,BAIK
201702,2017-02-10,DKI1,30.0,,4.0,23.0,32.0,3.0,32.0,O3,BAIK
201702,2017-02-11,DKI1,32.0,,6.0,23.0,42.0,4.0,42.0,O3,BAIK
201702,2017-02-12,DKI1,35.0,,3.0,18.0,40.0,3.0,40.0,O3,BAIK
201702,2017-02-13,DKI1,43.0,,4.0,21.0,42.0,3.0,43.0,PM10,BAIK
201702,2017-02-14,DKI1,34.0,,5.0,32.0,41.0,4.0,41.0,O3,BAIK
201702,2017-02-15,DKI1,27.0,,6.0,22.0,40.0,4.0,40.0,O3,BAIK
201702,2017-02-16,DKI1,36.0,,7.0,19.0,38.0,3.0,38.0,O3,BAIK
201702,2017-02-17,DKI1,52.0,,4.0,30.0,33.0,4.0,52.0,PM10,SEDANG
201702,2017-02-18,DKI1,68.0,,7.0,25.0,30.0,4.0,68.0,PM10,SEDANG
201702,2017-02-19,DKI1,57.0,,4.0,34.0,25.0,2.0,57.0,PM10,SEDANG
201702,2017-02-20,DKI1,40.0,,3.0,31.0,24.0,3.0,40.0,PM10,BAIK
201702,2017-02-21,DKI1,51.0,,3.0,34.0,46.0,4.0,51.0,PM10,SEDANG
201702,2017-02-22,DKI1,58.0,,15.0,25.0,78.0,5.0,78.0,O3,SEDANG
201702,2017-02-23,DKI1,52.0,,7.0,27.0,71.0,7.0,71.0,O3,SEDANG
201702,2017-02-24,DKI1,62.0,,7.0,30.0,67.0,5.0,67.0,O3,SEDANG
201702,2017-02-25,DKI1,50.0,,6.0,24.0,68.0,3.0,68.0,O3,SEDANG
201702,2017-02-26,DKI1,44.0,,8.0,25.0,60.0,4.0,60.0,O3,SEDANG
201702,2017-02-27,DKI1,30.0,,6.0,23.0,44.0,4.0,44.0,O3,BAIK
201702,2017-02-28,DKI1,58.0,,6.0,26.0,54.0,4.0,58.0,PM10,SEDANG
201702,2017-02-01,DKI2,27.0,,21.0,13.0,36.0,12.0,36.0,O3,BAIK
201702,2017-02-02,DKI2,37.0,,22.0,18.0,36.0,16.0,37.0,PM10,BAIK
201702,2017-02-03,DKI2,37.0,,21.0,19.0,45.0,13.0,45.0,O3,BAIK
