periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,kritis,kategori
202101,2021-01-22,DKI5,45.0,,21.0,13.0,40.0,15.0,45.0,PM10,BAIK
202101,2021-01-23,DKI5,80.0,,22.0,44.0,44.0,22.0,80.0,PM10,SEDANG
202101,2021-01-24,DKI5,27.0,,14.0,9.0,29.0,,29.0,CO,BAIK
202101,2021-01-25,DKI5,55.0,,19.0,29.0,67.0,13.0,67.0,CO,SEDANG
202101,2021-01-26,DKI5,57.0,,21.0,23.0,36.0,16.0,57.0,PM10,SEDANG
202101,2021-01-27,DKI5,15.0,,16.0,5.0,20.0,,20.0,CO,BAIK
202101,2021-01-28,DKI5,28.0,,19.0,11.0,28.0,,28.0,PM10,BAIK
202101,2021-01-29,DKI5,30.0,,22.0,10.0,32.0,11.0,32.0,CO,BAIK
202101,2021-01-30,DKI5,24.0,,17.0,8.0,27.0,10.0,27.0,CO,BAIK
202101,2021-01-31,DKI5,41.0,,17.0,19.0,29.0,8.0,41.0,PM10,BAIK
202102,2021-02-01,DKI1,59.0,79.0,21.0,26.0,15.0,31.0,79.0,PM25,SEDANG
202102,2021-02-02,DKI1,30.0,46.0,21.0,14.0,16.0,24.0,46.0,PM25,BAIK
202102,2021-02-03,DKI1,23.0,33.0,19.0,11.0,14.0,19.0,33.0,PM25,BAIK
202102,2021-02-04,DKI1,36.0,53.0,23.0,14.0,12.0,24.0,53.0,PM25,SEDANG
202102,2021-02-05,DKI1,29.0,36.0,20.0,14.0,12.0,21.0,36.0,PM25,BAIK
202102,2021-02-06,DKI1,27.0,34.0,21.0,8.0,21.0,15.0,34.0,PM25,BAIK
202102,2021-02-07,DKI1,25.0,23.0,19.0,7.0,19.0,12.0,25.0,PM10,BAIK
202102,2021-02-08,DKI1,24.0,26.0,19.0,10.0,18.0,17.0,26.0,PM25,BAIK
202102,2021-02-09,DKI1,33.0,40.0,22.0,12.0,14.0,22.0,40.0,PM25,BAIK
202102,2021-02-10,DKI1,32.0,38.0,21.0,10.0,12.0,16.0,38.0,PM25,BAIK
202102,2021-02-11,DKI1,26.0,37.0,23.0,13.0,9.0,17.0,37.0,PM25,BAIK
202102,2021-02-12,DKI1,41.0,52.0,26.0,16.0,10.0,16.0,52.0,PM25,SEDANG
202102,2021-02-13,DKI1,25.0,37.0,20.0,9.0,19.0,16.0,37.0,PM25,BAIK
202102,2021-02-14,DKI1,33.0,47.0,18.0,11.0,19.0,19.0,47.0,PM25,BAIK
202102,2021-02-15,DKI1,34.0,47.0,20.0,13.0,17.0,25.0,47.0,PM25,BAIK
202102,2021-02-16,DKI1,26.0,28.0,18.0,11.0,18.0,26.0,28.0,PM25,BAIK
202102,2021-02-17,DKI1,39.0,57.0,23.0,23.0,12.0,33.0,57.0,PM25,SEDANG
202102,2021-02-18,DKI1,43.0,59.0,29.0,13.0,12.0,29.0,59.0,PM25,SEDANG
202102,2021-02-19,DKI1,29.0,41.0,19.0,20.0,12.0,23.0,41.0,PM25,BAIK
202102,2021-02-20,DKI1,30.0,38.0,18.0,11.0,18.0,20.0,38.0,PM25,BAIK
202102,2021-02-21,DKI1,31.0,45.0,18.0,10.0,16.0,17.0,45.0,PM25,BAIK
202102,2021-02-22,DKI1,51.0,67.0,20.0,18.0,11.0,23.0,67.0,PM25,SEDANG
202102,2021-02-23,DKI1,50.0,64.0,22.0,11.0,20.0,23.0,64.0,PM25,SEDANG
202102,2021-02-24,DKI1,30.0,42.0,22.0,10.0,9.0,16.0,42.0,PM25,BAIK
202102,2021-02-25,DKI1,31.0,48.0,26.0,12.0,14.0,17.0,48.0,PM25,BAIK
202102,2021-02-26,DKI1,29.0,38.0,18.0,13.0,18.0,20.0,38.0,PM25,BAIK
202102,2021-02-27,DKI1,49.0,67.0,23.0,15.0,17.0,31.0,67.0,PM25,SEDANG
202102,2021-02-28,DKI1,43.0,60.0,19.0,12.0,19.0,18.0,60.0,PM25,SEDANG
202102,2021-02-01,DKI2,64.0,87.0,38.0,16.0,46.0,25.0,87.0,PM25,SEDANG
202102,2021-02-02,DKI2,30.0,42.0,38.0,4.0,55.0,15.0,55.0,O3,SEDANG
202102,2021-02-03,DKI2,24.0,35.0,38.0,4.0,42.0,15.0,42.0,O3,BAIK
202102,2021-02-04,DKI2,33.0,50.0,39.0,7.0,47.0,15.0,50.0,PM25,BAIK
202102,2021-02-05,DKI2,25.0,35.0,39.0,5.0,45.0,13.0,45.0,O3,BAIK
202102,2021-02-06,DKI2,30.0,38.0,37.0,,57.0,9.0,57.0,O3,SEDANG
202102,2021-02-07,DKI2,28.0,30.0,37.0,,57.0,5.0,57.0,O3,SEDANG
202102,2021-02-08,DKI2,26.0,31.0,37.0,,54.0,12.0,54.0,O3,SEDANG
202102,2021-02-09,DKI2,33.0,50.0,39.0,6.0,47.0,16.0,50.0,PM25,BAIK
202102,2021-02-10,DKI2,34.0,46.0,39.0,4.0,49.0,10.0,49.0,O3,BAIK
202102,2021-02-11,DKI2,33.0,49.0,43.0,6.0,35.0,11.0,49.0,PM25,BAIK
202102,2021-02-12,DKI2,43.0,62.0,43.0,14.0,33.0,11.0,62.0,PM25,SEDANG
202102,2021-02-13,DKI2,27.0,47.0,38.0,8.0,40.0,11.0,47.0,PM25,BAIK
202102,2021-02-14,DKI2,34.0,53.0,40.0,11.0,42.0,14.0,53.0,PM25,SEDANG
202102,2021-02-15,DKI2,36.0,52.0,39.0,13.0,37.0,17.0,52.0,PM25,SEDANG
202102,2021-02-16,DKI2,28.0,41.0,38.0,11.0,42.0,15.0,42.0,O3,BAIK
202102,2021-02-17,DKI2,41.0,61.0,40.0,25.0,41.0,27.0,61.0,PM25,SEDANG
202102,2021-02-18,DKI2,40.0,55.0,44.0,10.0,41.0,16.0,55.0,PM25,SEDANG
202102,2021-02-19,DKI2,32.0,51.0,42.0,16.0,41.0,20.0,51.0,PM25,SEDANG
202102,2021-02-20,DKI2,31.0,34.0,38.0,8.0,53.0,9.0,53.0,O3,SEDANG
202102,2021-02-21,DKI2,36.0,40.0,39.0,9.0,48.0,9.0,48.0,O3,BAIK
202102,2021-02-22,DKI2,60.0,69.0,42.0,15.0,41.0,19.0,69.0,PM25,SEDANG
202102,2021-02-23,DKI2,48.0,61.0,40.0,9.0,54.0,17.0,61.0,PM25,SEDANG
